tweet.id,tweet.created_at,tweet.text,tweet.user.name,tweet.user.screen_name,tweet.user.location,tweet.user.id,tweet.user.followers_count,tweet.user.friends_count,tweet.user.favourites_count,tweet.user.description
1257496834043531267,2020-05-05 02:26:23,Let’s be clear: the fact the nursing home deaths are not front and center every day in elite media coverage of… https://t.co/vmAQfr6PZZ,Alex Berenson,AlexBerenson,New York,87679233,95646,169,0,"Former NYT reporter and author of Tell Your Children. (My backup Telegram account is at AlexBerensonCV.)   National villain. Summertime, and the living's easy."
1257543756234055680,2020-05-05 05:32:50,"If Aadhar Card had been used as a base of our PDS system, it would have resolved many of our problems during #Covid… https://t.co/6TMkZvMdk0",Rohan Gupta,rohanrgupta,,336088096,88388,625,1805,"Chairman, Social Media Department , Indian National Congress"
1257577242504224774,2020-05-05 07:45:53,"So much chatter about Chennai competing with Bangalore vis-à-vis liquor sales. With the latest announcement, we are… https://t.co/pr8jPV0rzC",Chennai Super Kings,ChennaiIPL,"Chepauk, Chennai",117407834,5406587,437,6113,The Official Tweet of the Chennai Super Kings 🦁 #WhistlePodu #விசில்போடு #Yellove💛
1257730414795542531,2020-05-05 17:54:33,RT @JessedHagopian: Happy #TeacherAppreciationWeek to y’all social justice educators!    I did this interview to help us think through what…,lex,itslexnotalexa,,127129312,1798,484,156390,principled | abolitionist | she/her
1257730410391441409,2020-05-05 17:54:31,RT @ATX_PATRIOT: When will #we learn that China is not our friend nor a resource for products?   ☠️ Poisoned dog food ☠️ Toxic Candy &amp; toot…,PAPatriot ⭐️⭐️⭐️,patriot_pa,"Pennsylvania, USA",529597767,602,158,24605,"Forgiven, businessman, entrepreneur, follower of the Holy Creator and Redeemer God of Life, NRA life member"
1257730408806002689,2020-05-05 17:54:31,"RT @mathebula_chris: So excited by this great project that has come to fruition. Please tune in on Monday, 11 May. Hope Alive Online Radio…",Monnaotsile Setlhabi,Monnaotsile,,713765696,506,371,3081,
1257730406729875457,2020-05-05 17:54:31,RT @DemocratFed: The Greatest Criminal Fraud in Medical History:   Where’s the Virus?  F. William Engdahl  @MaryamHenein @CeliaFarber @jonr…,Jason Zagaro,JasonZagaro,"Mahwah, NJ",515574232,65,195,1008,Yoga teacher-Musician. New Jersey native. Instagram jz_yoga. Not my dog above but love him
1257730403458330627,2020-05-05 17:54:30,"RT @DSGovernment: To curb the spread of #COVID-19, all citizens and residents of Delta State must wear face masks in public at all times. #…",YinkaJones,YinkaJones2,Abuja,1039137416966234117,113,60,1884,I am a genius cos I am a winner. Winners always win
1257730403349065728,2020-05-05 17:54:30,RT @kausar_nargis: Is there any different plan different stratagy behind lockdown...?? Can #Covid be eradicated after Arrest of JMI student…,LaraibKhan لاریب ابن امان اللہ,LaraibkhanA,"Raver, India",1146758226349871104,82,770,1356,Student of Biotechnology.student activist KBCNMU university Jalgaon Member Of @sioindia #TI
1257730399167488002,2020-05-05 17:54:29,RT @ceriphi: Stop! Does your #COVID-19 patient really need antibiotics? Evidence suggests bacterial co-infection occurs in less than 10% of…,"Amira Guirguis, PhD",AMIRAGUIRGUIS1,,710136917971570688,937,1110,4176,"Pharmacist, Senior Lecturer, MPharm Prog Director Swansea Uni, JPAG committee member. Psychoactive Subs research. Views my own. Retweets are not endorsements"
1257730398336937985,2020-05-05 17:54:29,"RT @AlexBerenson: As the media desperately pretends Georgia @govkemp has killed hordes of his state’s residents by allowing them to shop, t…",-DJ-🖤❤ TRUMP🖤,laridor1,,701253999228354560,8435,6756,404562,*** TRUMP 2020 ***                                                                 * NO LISTS !!! -- *No F-Bombs!
1257730398177484800,2020-05-05 17:54:29,"RT @heyyparth: In my colony, people are fighting (on a WA group) over raising the salary of the guy who picks house waste by Rs 50/home p/m…",AnnieZaidi,anniezaidi,India,10839562,10510,843,3734,Writer of various things. Maker of short-ish films. Shaami kebab fan.  Books available here: https://t.co/BH1lhvWFnc
1257730391026405378,2020-05-05 17:54:27,RT @KVUE: #Texas sets record for largest gain of #COVID–19 cases over a two-day period since pandemic began https://t.co/x6O4lnKpBU,B Gault,MssGault,#ATX \m/ Spurs,563075168,647,541,10737,Seeking Justice. Survivor. Supporter. Honest. Real. DeionSanders Traceyeedmonds Emmitt22 (._.°)™ 959RnB ImCharlieWilson sinbadbad reaTroyRoberts Maher48hours
1257730377143029760,2020-05-05 17:54:24,RT @Vijayabaskarofl: 4000 bedded #Covid care centers are ready as per the guidance of Hon’ble @CMOTamilNadu. The facilities were personally…,sriramonline,sriramonline1,,1091199325084864512,5,90,759,
1257730370939781121,2020-05-05 17:54:22,RT @anirvanc: A great initiative by @Locus_Sh to play their part in the #covid crisis. Very effective solution that generates APIs in real…,Blume Ventures,BlumeVentures,"Mumbai, Bangalore & Delhi NCR",254124909,37772,570,14441,Backing the next wave of revolutionary founders and ventures from India.  Pitch to us at https://t.co/d79OuPJh3x
1257496827634515968,2020-05-05 02:26:21,RT @DrSamirSinha: Canada has the HIGHEST proportion of deaths in #LTC settings among 14 countries. @RyersonNIA+@BruyereCare researchers hav…,Urban Pragmatist 🇨🇦,TOagainstFord,"Toronto, Ontario, Canada",991132349663412224,314,256,14095,"Personal views from a Torontonian on Canadian and Toronto politics, world politics, democracy, cosmopolitan openness, urbanism + transit & science + tech."
1257496824643874817,2020-05-05 02:26:20,RT @LeoVaradkar: Great call with President Moon ⁦@TheBlueHouseENG⁩ of the Republic of Korea this morning. Discussed co-operation on PPE sup…,길!,kimyulhee85,,2572246068,934,1074,710,
1257496822819573761,2020-05-05 02:26:20,"RT @johnstanly: Big day for #Kerala. The state reports zero #COVID infection again, and discharges 61 patients! The total number of active…",TUFAIL AHMAD,tufailelif,The Milky Way,21002587,73732,4567,56857,"""During times of universal deceit, telling the truth becomes a revolutionary act"" – George Orwell. Writer. Ex: BBC, PTI. AMU, JNU, IIMC, King's College London."
1257496812878917637,2020-05-05 02:26:18,RT @Stalin__SP: Sources say that the govt is planning to treat only the Symptomatic patients at hospitals and isolate Asymptomatic patients…,Amanullah khan,Gak_Ak,"Chennai, India",1081762880,19,125,1275,Sales & Service Engineer
