tweet.id,tweet.created_at,tweet.text,tweet.user.name,tweet.user.screen_name,tweet.user.location,tweet.user.id,tweet.user.followers_count,tweet.user.friends_count,tweet.user.favourites_count,tweet.user.description
1257606941066645504,2020-05-05 09:43:54,Jungkook’s cover of @lauvsongs 'Never Not' is helping everyone through #quarantine 🙏 💜  https://t.co/Pgpa9KdHkC,Deezer,Deezer,,375861459,195074,915,7326,Stream your music anywhere anytime and experience Flow for free.  Need support? Head to @DeezerHelp
1257468349103009793,2020-05-05 00:33:11,"We’re asking @lauvsongs about #quarantine, his new album #HowImFeeling, @BTS_twt, and how to style your own hair. https://t.co/CeWC8t9dOE",92 PRO-FM,92profm,"Providence, RI",29225739,8458,657,1640,"Today's Hit Music...(https://t.co/mEN2cdWPEv) update you on contests, music news, & more!"
1257662387110449152,2020-05-05 13:24:13,"🌎  To all those parents and teachers out there, this is #EarthSchool: 30 Days of videos, quizzes and challenges tha… https://t.co/bS4wjUj6wI",Alexander Verbeek 🌍,Alex_Verbeek,Stockholm,326665662,239187,111806,109660,Public Speaker | Moderator | Diplomat | Photographer | Yale World Fellow | Climate Change | Wildlife | Environment | Art | Energy-Water-Food | Sustainability 🌱
1257730549231149058,2020-05-05 17:55:05,RT @Network_UFO: Tag your #Quarantine squad 😍🔥  #EDMFamily #EDMTwitter #edmlovers #QuarantineLife #COVID19 #QuarantineAndChill #COVIDー19 #l…,Ålęxander,legendary02,"West Jordan, UT",344117780,315,285,7851,Peace. Love. Unity. Respect. FOLLOW: @TheofficialAOT #AOTNation #ArmyofTwo S.A.W 💕 1.12.19
1257730534832300036,2020-05-05 17:55:01,59 Taco Recipes Your #Summer #quarantine #Patio #party Needs! https://t.co/tgQFpPacL4 #DIY #tacotuesday #mexican… https://t.co/Cit92ewzZn,Shani Dixon,ShaniDixon,Princeton #NJ to Yardley #PA +,33129453,2291,1944,4889,"#Realtor licensed in NJ & PA working in Bucks, Mercer, Middlesex and surrounding Counties. I am a #foodie. I also love #fitness & much more. Mom to 2 Chihuahuas"
1257730528998043650,2020-05-05 17:55:00,You’re Stronger Than Your Quarantine Fatigue A behavioral economist explains how to keep going.… https://t.co/YLkhXX3d3c,Behave4,behave4_,,4846209543,662,763,402,#BehavioralEconomics Assessments for #HR. Making companies better places to work. People first!
1257730527769092096,2020-05-05 17:54:59,RT @willpowerentllc: @ricky_rikkardo  🚨 Who’s Ready for Me n Demar Derozan New Video “GO CRAZY”  Prod by @prodtefoma ‼️🔥💫🕺🏾🤯 😈💎 #SAUCEY  #N…,RICKY RIKKARDO,ricky_rikkardo,NYC,29121347,16040,1920,307,The Source Magazine’s #UnsignedHype  Standout Of 2018 🤞🏽✍🏽🏧
1257730510362738692,2020-05-05 17:54:55,"RT @DananaMama: Pelosi District Newsome State  My friends, I’ve seen tweets from other countries mocking US: look at “Trumps America”   #CA…",Sincerely Susan Granny ( The old warrior),SusanWi67860707,,1013799660954284033,3614,3535,40362,".  Is anyone else worried about or nation or is it my  old age Love my President Trump and the USA. no following on FB that is for my familyNo DM ♥️💯,🤶💯🇺🇸"
1257730483040989185,2020-05-05 17:54:49,RT @Deezer: Jungkook’s cover of @lauvsongs 'Never Not' is helping everyone through #quarantine 🙏 💜  https://t.co/Pgpa9KdHkC,BTSdesiderata,JeanettaCSheehy,"Tennessee, USA",1069665522,2946,2512,425444,Fulltime @BTS_twt ARMY-personal account-💜
1257730482734800897,2020-05-05 17:54:49,I bet if @TamarBraxtonHer  was still on the #theReal they would be filming during #quarantine getting a #coint #fox29 where is #theReal ????,Latya jay,TATTED_L33L33,philadelphia,2251263526,118,48,64,Ceo of @getLashedBylatya
1257730482374168576,2020-05-05 17:54:49,RT @justaddrhythm: Happy Cinco de mayo! How are you celebrating in #quarantine? . #Cincodemayo #2020 #cincodemayoday #cincodemayo #happy #c…,Amy Angelilli,amyadventurepro,"St. Augustine, FL",55394647,3350,4997,6388,Life adventurer. Meaningful traveler. Improviser. Laughter yoga leader. Facilitator. Writer. Story teller. Irreverent yogi. #WDS2019 #findyouradventure
1257730478934810633,2020-05-05 17:54:48,RT @djdigitalpunk: WHO IS READY FOR THIS ONE?! ‘REACH FOR THE SKY’ with @djadaro ! 🙌🏻 - - - - #hardstyle #reachforthesky #quarantine #qdanc…,Samuel Tamel López,TortillaPerejil,"Murcia, España",621139133,96,49,0,Las tortillas de perejil y el traje murciano de Huertano lo son todo
